0.31416,0.99996-0.0036474i
0.46721,0.9999-0.0079235i
0.62026,0.99978-0.013617i
0.77332,0.99957-0.020483i
0.92637,0.99922-0.028221i
1.0794,0.99869-0.036481i
1.2325,0.99794-0.044876i
1.3855,0.99692-0.052991i
1.5386,0.99557-0.060398i
1.6916,0.99384-0.066664i
1.8447,0.9917-0.071368i
1.9977,0.98911-0.074113i
2.1508,0.98605-0.074535i
2.3038,0.9825-0.072318i
2.4569,0.97845-0.067205i
2.6099,0.97393-0.059003i
2.763,0.96895-0.047593i
2.916,0.96355-0.032937i
3.0691,0.9578-0.015078i
3.2221,0.95175+0.0058538i
3.3752,0.9455+0.029646i
3.5283,0.93912+0.056006i
3.6813,0.93274+0.084562i
3.8344,0.92646+0.11488i
3.9874,0.9204+0.14645i
4.1405,0.91468+0.17873i
4.2935,0.90941+0.21113i
4.4466,0.90471+0.24304i
4.5996,0.9007+0.27385i
4.7527,0.89747+0.30293i
4.9057,0.89511+0.32968i
5.0588,0.89369+0.35356i
5.2118,0.89326+0.37403i
5.3649,0.89387+0.39065i
5.5179,0.89552+0.40304i
5.671,0.8982+0.41091i
5.824,0.90188+0.41404i
5.9771,0.9065+0.41235i
6.1301,0.91198+0.40583i
6.2832,0.91822+0.39459i
