0.31416,0.99998-0.0032559i,0.99996-0.0036474i,0.99992-0.0043527i,0.99925-0.0062309i,0.99577-0.0051474i,0.99029-0.0023696i
0.46721,0.99993-0.007073i,0.9999-0.0079235i,0.9998-0.0094555i,0.99826-0.013538i,0.99057-0.011191i,0.97853-0.0051591i
0.62026,0.99985-0.012155i,0.99978-0.013617i,0.99958-0.01625i,0.99676-0.02327i,0.98319-0.019254i,0.9622-0.0088941i
0.77332,0.99969-0.018284i,0.99957-0.020483i,0.99921-0.024444i,0.9946-0.035012i,0.97349-0.029003i,0.94131-0.013433i
0.92637,0.99943-0.025192i,0.99922-0.028221i,0.99864-0.033678i,0.99165-0.048253i,0.96133-0.040027i,0.91591-0.018598i
1.0794,0.99904-0.032565i,0.99869-0.036481i,0.99779-0.043536i,0.98773-0.062397i,0.94651-0.051844i,0.88605-0.02418i
1.2325,0.99847-0.040059i,0.99794-0.044876i,0.9966-0.053555i,0.98264-0.076782i,0.92886-0.063915i,0.8518-0.029941i
1.3855,0.99768-0.047304i,0.99692-0.052991i,0.99499-0.06324i,0.97621-0.090698i,0.9082-0.075654i,0.81325-0.035618i
1.5386,0.99665-0.053917i,0.99557-0.060398i,0.99288-0.072078i,0.96825-0.10341i,0.88434-0.086445i,0.77052-0.040929i
1.6916,0.99532-0.059513i,0.99384-0.066664i,0.99022-0.079552i,0.95858-0.11416i,0.85715-0.095659i,0.72373-0.045578i
1.8447,0.99367-0.063716i,0.9917-0.071368i,0.98693-0.08516i,0.94704-0.12223i,0.8265-0.10266i,0.67307-0.04926i
1.9977,0.99167-0.066171i,0.98911-0.074113i,0.98297-0.088423i,0.93353-0.1269i,0.79232-0.10685i,0.61873-0.051668i
2.1508,0.9893-0.066556i,0.98605-0.074535i,0.9783-0.088908i,0.91794-0.12755i,0.75461-0.10762i,0.56095-0.052495i
2.3038,0.98655-0.064589i,0.9825-0.072318i,0.9729-0.086235i,0.90024-0.1236i,0.71339-0.10446i,0.5-0.051447i
