0.31416,0.99999-0.0028408i,0.99998-0.0032559i,0.99996-0.0036474i,0.99992-0.0043527i,0.99925-0.0062309i,0.99772-0.0060681i,0.99577-0.0051474i,0.99325-0.0038485i,0.99236-0.0034029i,0.99117-0.0028109i,0.99029-0.0023696i,0.98865-0.0014073i
0.46721,0.99996-0.0061711i,0.99993-0.007073i,0.9999-0.0079235i,0.9998-0.0094555i,0.99826-0.013538i,0.99486-0.013188i,0.99057-0.011191i,0.98502-0.0083717i,0.98308-0.0074042i,0.98046-0.0061182i,0.97853-0.0051591i,0.97494-0.0030662i
0.62026,0.9999-0.010605i,0.99985-0.012155i,0.99978-0.013617i,0.99958-0.01625i,0.99676-0.02327i,0.99071-0.022677i,0.98319-0.019254i,0.9735-0.014415i,0.97011-0.012753i,0.96556-0.010543i,0.9622-0.0088941i,0.95595-0.0052909i
0.77332,0.99979-0.015953i,0.99969-0.018284i,0.99957-0.020483i,0.99921-0.024444i,0.9946-0.035012i,0.98512-0.034138i,0.97349-0.029003i,0.95861-0.021736i,0.95342-0.019238i,0.94645-0.015915i,0.94131-0.013433i,0.93178-0.0080008i
0.92637,0.9996-0.021979i,0.99943-0.025192i,0.99922-0.028221i,0.99864-0.033678i,0.99165-0.048253i,0.97791-0.047076i,0.96133-0.040027i,0.94027-0.030035i,0.93295-0.026597i,0.92314-0.02202i,0.91591-0.018598i,0.90253-0.011094i
1.0794,0.99932-0.028413i,0.99904-0.032565i,0.99869-0.036481i,0.99779-0.043536i,0.98773-0.062397i,0.96886-0.060917i,0.94651-0.051844i,0.91839-0.038959i,0.90866-0.034521i,0.89563-0.028606i,0.88605-0.02418i,0.86834-0.01445i
1.2325,0.9989-0.034952i,0.99847-0.040059i,0.99794-0.044876i,0.9966-0.053555i,0.98264-0.076782i,0.95776-0.075019i,0.92886-0.063915i,0.89289-0.048111i,0.88051-0.04266i,0.86395-0.035389i,0.8518-0.029941i,0.82938-0.017932i
1.3855,0.99833-0.041274i,0.99768-0.047304i,0.99692-0.052991i,0.99499-0.06324i,0.97621-0.090698i,0.94437-0.088691i,0.9082-0.075654i,0.8637-0.057056i,0.84846-0.050633i,0.82814-0.042055i,0.81325-0.035618i,0.78585-0.021386i
1.5386,0.99757-0.047045i,0.99665-0.053917i,0.99557-0.060398i,0.99288-0.072078i,0.96825-0.10341i,0.92847-0.10121i,0.88434-0.086445i,0.83075-0.065333i,0.81251-0.058031i,0.78825-0.048267i,0.77052-0.040929i,0.73795-0.024647i
1.6916,0.99659-0.05193i,0.99532-0.059513i,0.99384-0.066664i,0.99022-0.079552i,0.95858-0.11416i,0.90987-0.11184i,0.85715-0.095659i,0.79402-0.072466i,0.77267-0.064432i,0.74437-0.053676i,0.72373-0.045578i,0.68594-0.02754i
1.8447,0.99537-0.055601i,0.99367-0.063716i,0.9917-0.071368i,0.98693-0.08516i,0.94704-0.12223i,0.8884-0.11985i,0.8265-0.10266i,0.7535-0.077972i,0.72899-0.069405i,0.69662-0.057921i,0.67307-0.04926i,0.63009-0.029884i
1.9977,0.99389-0.057749i,0.99167-0.066171i,0.98911-0.074113i,0.98297-0.088423i,0.93353-0.1269i,0.86392-0.12454i,0.79232-0.10685i,0.70923-0.081371i,0.68156-0.072521i,0.64514-0.060643i,0.61873-0.051668i,0.57068-0.031491i
2.1508,0.99213-0.058092i,0.9893-0.066556i,0.98605-0.074535i,0.9783-0.088908i,0.91794-0.12755i,0.83637-0.12526i,0.75461-0.10762i,0.66131-0.082203i,0.63051-0.073364i,0.59013-0.061486i,0.56095-0.052495i,0.50805-0.032175i
