0,0.53964,0.27322,0.31088
1,0.33288,0.17112,0.19399
2,0.10267,0.054889,0.061645
3,0.02111,0.011997,0.013286
4,0.0032555,0.0020019,0.0021794
5,0.00040163,0.00027067,0.00028924
6,4.1291e-05,3.0706e-05,3.2211e-05
7,3.6386e-06,2.9888e-06,3.0815e-06
8,2.8056e-07,2.5334e-07,2.5725e-07
9,1.9229e-08,1.8898e-08,1.8917e-08
10,1.1862e-09,1.2501e-09,1.2403e-09
0,0,0.26639,0.22873
1,0,0.16171,0.13885
2,0,0.047796,0.041039
3,0,0.0091512,0.0078574
4,0,0.0012717,0.0010919
5,0,0.00013589,0.00011668
6,0,1.1508e-05,9.8824e-06
7,0,7.8091e-07,6.7079e-07
8,0,4.2114e-08,3.6198e-08
9,0,1.7366e-09,1.5165e-09
10,0,4.8939e-11,4.3336e-11
