0.00062832,0.87501+0.48224i
0.080154,0.87501+0.48223i
0.15968,0.87501+0.48222i
0.23921,0.87502+0.48221i
0.31873,0.87502+0.4822i
0.39826,0.87503+0.48219i
0.47778,0.87503+0.48218i
0.55731,0.87503+0.48217i
0.63684,0.87504+0.48216i
0.71636,0.87504+0.48215i
0.79589,0.87504+0.48214i
0.87541,0.87505+0.48213i
0.95494,0.87505+0.48212i
1.0345,0.87505+0.48211i
1.114,0.87506+0.4821i
1.1935,0.87506+0.48209i
1.273,0.87506+0.48208i
1.3526,0.87507+0.48207i
1.4321,0.87507+0.48206i
1.5116,0.87508+0.48205i
1.5911,0.87508+0.48204i
1.6707,0.87508+0.48204i
1.7502,0.87509+0.48203i
1.8297,0.87509+0.48202i
1.9093,0.87509+0.48201i
1.9888,0.8751+0.482i
2.0683,0.8751+0.48199i
2.1478,0.87511+0.48198i
2.2274,0.87511+0.48197i
2.3069,0.87511+0.48196i
2.3864,0.87512+0.48196i
2.4659,0.87512+0.48195i
2.5455,0.87512+0.48194i
2.625,0.87513+0.48193i
2.7045,0.87513+0.48192i
2.784,0.87513+0.48191i
2.8636,0.87514+0.48191i
2.9431,0.87514+0.4819i
3.0226,0.87515+0.48189i
3.1021,0.87515+0.48188i
3.1817,0.87515+0.48187i
3.2612,0.87516+0.48186i
3.3407,0.87516+0.48186i
3.4202,0.87516+0.48185i
3.4998,0.87517+0.48184i
3.5793,0.87517+0.48183i
3.6588,0.87517+0.48183i
3.7384,0.87518+0.48182i
3.8179,0.87518+0.48181i
3.8974,0.87519+0.4818i
3.9769,0.87519+0.48179i
4.0565,0.87519+0.48179i
4.136,0.8752+0.48178i
4.2155,0.8752+0.48177i
4.295,0.8752+0.48176i
4.3746,0.87521+0.48176i
4.4541,0.87521+0.48175i
4.5336,0.87521+0.48174i
4.6131,0.87522+0.48173i
4.6927,0.87522+0.48173i
4.7722,0.87523+0.48172i
4.8517,0.87523+0.48171i
4.9312,0.87523+0.4817i
5.0108,0.87524+0.4817i
5.0903,0.87524+0.48169i
5.1698,0.87524+0.48168i
5.2493,0.87525+0.48167i
5.3289,0.87525+0.48167i
5.4084,0.87525+0.48166i
5.4879,0.87526+0.48165i
5.5675,0.87526+0.48164i
5.647,0.87527+0.48164i
5.7265,0.87527+0.48163i
5.806,0.87527+0.48162i
5.8856,0.87528+0.48161i
5.9651,0.87528+0.48161i
6.0446,0.87528+0.4816i
6.1241,0.87529+0.48159i
6.2037,0.87529+0.48158i
6.2832,0.87529+0.48157i
