0,0.99974-0.011776i,0.99918-0.02514i,0.99237-0.073782i,0.93126-0.0060739i,0.84572+0.35695i
0.16111,0.99976-0.010711i,0.99926-0.022947i,0.99328-0.068859i,0.93823-0.02083i,0.85242+0.31519i
0.32221,0.9998-0.0091929i,0.99939-0.019806i,0.9946-0.061596i,0.94902-0.041835i,0.86638+0.24352i
0.48332,0.99984-0.0073649i,0.99953-0.015982i,0.99608-0.051971i,0.96209-0.061313i,0.88937+0.14824i
0.64443,0.99988-0.0054071i,0.99967-0.011828i,0.99746-0.040353i,0.97531-0.070924i,0.91994+0.048836i
0.80554,0.99992-0.0035186i,0.99978-0.007758i,0.99854-0.02772i,0.98642-0.065255i,0.95212-0.025031i
0.96664,0.99995-0.0018989i,0.99987-0.0042162i,0.99926-0.015677i,0.99395-0.04549i,0.97792-0.050497i
1.1278,0.99997-0.00072513i,0.99993-0.0016186i,0.99965-0.0061975i,0.9978-0.020621i,0.99255-0.032671i
1.2889,0.99998-0.00012961i,0.99995-0.00029013i,0.99981-0.0011285i,0.99914-0.0040196i,0.99772-0.0073194i
1.45,0.99998-0.00018166i,0.99996-0.00040808i,0.99984-0.0016182i,0.99932-0.0062521i,0.9984-0.013274i
1.6111,0.99998-0.00087716i,0.99994-0.0019665i,0.99976-0.0077143i,0.99875-0.028523i,0.99624-0.056133i
1.7722,0.99996-0.0021385i,0.9999-0.0047746i,0.99951-0.018312i,0.99647-0.061537i,0.98739-0.10087i
1.9333,0.99993-0.0038249i,0.99984-0.0084886i,0.99898-0.031485i,0.99105-0.090766i,0.96755-0.10236i
2.0944,0.9999-0.0057517i,0.99974-0.01267i,0.9981-0.045055i,0.9818-0.10431i,0.93796-0.042177i
2.2555,0.99986-0.0077132i,0.99961-0.016854i,0.99686-0.057157i,0.96949-0.098195i,0.90553+0.062148i
2.4166,0.99982-0.0095074i,0.99947-0.020609i,0.99541-0.066604i,0.95605-0.076561i,0.8779+0.17599i
2.5777,0.99978-0.010956i,0.99933-0.023583i,0.99397-0.072949i,0.94377-0.048215i,0.85904+0.27086i
2.7388,0.99975-0.011922i,0.99922-0.025524i,0.99281-0.076299i,0.93456-0.022432i,0.84867+0.33413i
2.8999,0.99973-0.012316i,0.99916-0.026286i,0.99215-0.077011i,0.92961-0.0061352i,0.8444+0.36514i
3.061,0.99973-0.012105i,0.99916-0.025822i,0.99213-0.075406i,0.92949-0.0027911i,0.84431+0.36678i
3.2221,0.99975-0.011308i,0.99921-0.024176i,0.99276-0.071605i,0.9342-0.012272i,0.84833+0.33983i
3.3833,0.99978-0.010001i,0.99932-0.021481i,0.9939-0.065528i,0.94322-0.030993i,0.85834+0.28296i
3.5444,0.99982-0.008307i,0.99946-0.017959i,0.99534-0.057068i,0.95539-0.052308i,0.87674+0.19795i
3.7055,0.99986-0.00639i,0.9996-0.013922i,0.99679-0.046366i,0.96883-0.067806i,0.90398+0.097302i
3.8666,0.9999-0.0044414i,0.99973-0.0097547i,0.99804-0.034076i,0.98125-0.070114i,0.93634+0.0068453i
4.0277,0.99993-0.0026633i,0.99983-0.0058937i,0.99895-0.021505i,0.99068-0.05674i,0.96626-0.044331i
4.1888,0.99996-0.0012467i,0.9999-0.0027762i,0.99949-0.010491i,0.99628-0.032887i,0.98667-0.045289i
4.3499,0.99998-0.00034911i,0.99994-0.00078059i,0.99975-0.0030175i,0.99868-0.010467i,0.996-0.018099i
4.511,0.99998-7.317e-05i,0.99996-0.00016419i,0.99984-0.00064717i,0.99932-0.0024389i,0.99837-0.0049527i
4.6721,0.99998-0.00045218i,0.99995-0.0010151i,0.99981-0.0040097i,0.99916-0.015253i,0.99782-0.031546i
4.8332,0.99997-0.0014446i,0.99993-0.0032328i,0.99966-0.012558i,0.99791-0.044566i,0.993-0.08136i
4.9943,0.99995-0.0029394i,0.99987-0.0065443i,0.99929-0.024714i,0.99422-0.077515i,0.97893-0.10908i
5.1554,0.99992-0.0047709i,0.99979-0.01055i,0.99859-0.03835i,0.98689-0.099961i,0.95363-0.079591i
5.3165,0.99988-0.006741i,0.99968-0.01479i,0.99752-0.051381i,0.97593-0.10361i,0.92157+0.0065454i
5.4776,0.99984-0.0086431i,0.99954-0.018809i,0.99615-0.062257i,0.96277-0.088824i,0.89075+0.12i
5.6388,0.9998-0.010285i,0.9994-0.022211i,0.99467-0.070168i,0.94963-0.062616i,0.86731+0.22696i
5.7999,0.99976-0.011507i,0.99927-0.024694i,0.99334-0.074978i,0.93869-0.034496i,0.85293+0.30667i
5.961,0.99974-0.012194i,0.99918-0.026058i,0.9924-0.076961i,0.9315-0.012796i,0.84593+0.35348i
6.1221,0.99973-0.012286i,0.99915-0.026207i,0.99206-0.076485i,0.92894-0.002769i,0.84389+0.3695i
6.2832,0.99974-0.011776i,0.99918-0.02514i,0.99237-0.073782i,0.93126-0.0060739i,0.84572+0.35695i
