0,0.99974-0.011776i,0.99961
0.16111,0.99976-0.010711i,0.99963
0.32221,0.9998-0.0091929i,0.99968
0.48332,0.99984-0.0073649i,0.99973
0.64443,0.99988-0.0054071i,0.99979
0.80554,0.99992-0.0035186i,0.99985
0.96664,0.99995-0.0018989i,0.9999
1.1278,0.99997-0.00072513i,0.99994
1.2889,0.99998-0.00012961i,0.99996
1.45,0.99998-0.00018166i,0.99996
1.6111,0.99998-0.00087716i,0.99995
1.7722,0.99996-0.0021385i,0.99992
1.9333,0.99993-0.0038249i,0.99988
2.0944,0.9999-0.0057517i,0.99984
2.2555,0.99986-0.0077132i,0.99978
2.4166,0.99982-0.0095074i,0.99973
2.5777,0.99978-0.010956i,0.99968
2.7388,0.99975-0.011922i,0.99964
2.8999,0.99973-0.012316i,0.99961
3.061,0.99973-0.012105i,0.99961
3.2221,0.99975-0.011308i,0.99962
3.3833,0.99978-0.010001i,0.99965
3.5444,0.99982-0.008307i,0.9997
3.7055,0.99986-0.00639i,0.99976
3.8666,0.9999-0.0044414i,0.99982
4.0277,0.99993-0.0026633i,0.99987
4.1888,0.99996-0.0012467i,0.99992
4.3499,0.99998-0.00034911i,0.99995
4.511,0.99998-7.317e-05i,0.99996
4.6721,0.99998-0.00045218i,0.99996
4.8332,0.99997-0.0014446i,0.99994
4.9943,0.99995-0.0029394i,0.99991
5.1554,0.99992-0.0047709i,0.99986
5.3165,0.99988-0.006741i,0.99981
5.4776,0.99984-0.0086431i,0.99975
5.6388,0.9998-0.010285i,0.9997
5.7999,0.99976-0.011507i,0.99965
5.961,0.99974-0.012194i,0.99962
6.1221,0.99973-0.012286i,0.99961
6.2832,0.99974-0.011776i,0.99961
