0,0.7346,0.5227-6.5621e-19i,0.55199+0.078663i
1,0.57696,0.41367-8.5302e-19i,0.43625+0.060635i
2,0.32042,0.23429-3.436e-19i,0.24621+0.032011i
3,0.14529,0.10953-7.2486e-19i,0.11449+0.013311i
4,0.057057,0.044743+3.1851e-19i,0.046458+0.0045929i
5,0.020041,0.016452-8.4287e-20i,0.016954+0.0013424i
6,0.0064258,0.0055413+2.3655e-20i,0.0056657+0.0003321i
7,0.0019075,0.0017288-5.4912e-21i,0.0017541+6.7434e-05i
8,0.00052968,0.00050333+1.9912e-22i,0.0005071+1.0019e-05i
9,0.00013867,0.00013747-3.4778e-22i,0.00013754+5.2399e-07i
10,3.4441e-05,3.5356e-05-6.6215e-23i,3.5216e-05-3.4454e-07i
11,0,4.2942e-19+0.51613i,-0.00085283-0.47825i
12,0,-2.5844e-18+0.40214i,-0.0017554-0.37262i
13,0,-3.5606e-19+0.21862i,-0.0015766-0.20257i
14,0,1.7195e-19+0.095662i,-0.00098631-0.088636i
15,0,2.5275e-19+0.035661i,-0.00049287-0.03304i
16,0,-1.422e-19+0.011657i,-0.00020955-0.0108i
17,0,-1.0942e-19+0.0033923i,-7.8532e-05-0.0031427i
18,0,4.2629e-20+0.00088369i,-2.6517e-05-0.00081859i
19,0,-1.0175e-20+0.00020522i,-8.1854e-06-0.00019008i
20,0,1.6721e-22+4.1672e-05i,-2.3323e-06-3.8872e-05i
21,0,-6.0394e-22+6.9957e-06i,-5.7608e-07-6.5577e-06i
