0,0.7346,0.51944+3.5244e-34i,0.54917+0.079853i
1,0.57696,0.40797+2.5264e-34i,0.43132+0.062716i
2,0.32042,0.22657-1.6249e-34i,0.23954+0.03483i
3,0.14529,0.10274+3.5505e-35i,0.10862+0.015794i
4,0.057057,0.040345-2.3452e-35i,0.042654+0.0062022i
5,0.020041,0.014171+5.0499e-36i,0.014982+0.0021785i
6,0.0064258,0.0045437+4.6377e-36i,0.0048038+0.00069849i
7,0.0019075,0.0013488+6.8425e-37i,0.001426+0.00020735i
8,0.00052968,0.00037454-3.3587e-37i,0.00039597+5.7577e-05i
9,0.00013867,9.8054e-05+2.8686e-38i,0.00010367+1.5074e-05i
10,3.4441e-05,2.4353e-05+1.1247e-38i,2.5747e-05+3.7437e-06i
11,0,-1.0698e-33+0.51944i,-1.1443e-16-0.48133i
12,0,1.1739e-34+0.40797i,-4.2786e-17-0.37803i
13,0,1.7646e-34+0.22657i,-4.0131e-17-0.20994i
14,0,1.9605e-34+0.10274i,-1.238e-17-0.095199i
15,0,-7.2831e-35+0.040345i,3.4406e-18-0.037385i
16,0,5.2291e-36+0.014171i,-2.1091e-19-0.013131i
17,0,2.5277e-36+0.0045437i,9.1221e-19-0.0042103i
18,0,-9.0557e-37+0.0013488i,1.6312e-19-0.0012498i
19,0,6.4881e-37+0.00037454i,4.3841e-20-0.00034706i
20,0,-1.7044e-37+9.8054e-05i,6.1078e-21-9.0859e-05i
21,0,1.9827e-38+2.4353e-05i,2.2376e-21-2.2566e-05i
