0,0.88273+0.16159i,0.80533
0.16111,0.89193+0.12781i,0.81188
0.32221,0.90739+0.075797i,0.82911
0.48332,0.92807+0.016592i,0.86158
0.64443,0.95112-0.033703i,0.90577
0.80554,0.97228-0.059178i,0.94882
0.96664,0.98759-0.053609i,0.97821
1.1278,0.99573-0.027736i,0.99225
1.2889,0.99854-0.0057281i,0.99711
1.45,0.99892-0.0095173i,0.99793
1.6111,0.99773-0.04198i,0.99724
1.7722,0.9929-0.083764i,0.99286
1.9333,0.98159-0.10704i,0.97497
2.0944,0.96328-0.094155i,0.93678
2.2555,0.94071-0.046477i,0.88709
2.4166,0.91826+0.020255i,0.8436
2.5777,0.89969+0.08674i,0.81697
2.7388,0.88701+0.13824i,0.80589
2.8999,0.88065+0.16681i,0.80337
3.061,0.8805+0.16972i,0.80408
3.2221,0.88654+0.14744i,0.80769
3.3833,0.89891+0.10353i,0.81876
3.5444,0.91721+0.046173i,0.84341
3.7055,0.93954-0.010768i,0.88286
3.8666,0.96222-0.050278i,0.92839
4.0277,0.98083-0.060028i,0.96563
4.1888,0.9925-0.041876i,0.98682
4.3499,0.99761-0.014593i,0.99543
4.511,0.9989-0.0036408i,0.99782
4.6721,0.9986-0.022948i,0.99772
4.8332,0.99597-0.063485i,0.99599
4.9943,0.98816-0.099234i,0.98632
5.1554,0.9732-0.10548i,0.95825
5.3165,0.95226-0.073896i,0.91227
5.4776,0.92919-0.014246i,0.8636
5.6388,0.90832+0.05461i,0.82803
5.7999,0.89256+0.11501i,0.80989
5.961,0.88304+0.15566i,0.80399
6.1221,0.87981+0.17151i,0.80347
6.2832,0.88273+0.16159i,0.80533
