0.31416,0.99925-0.0062309i,0.99854
0.46721,0.99826-0.013538i,0.99671
0.62026,0.99676-0.02327i,0.99407
0.77332,0.9946-0.035012i,0.99046
0.92637,0.99165-0.048253i,0.9857
1.0794,0.98773-0.062397i,0.9795
1.2325,0.98264-0.076782i,0.97149
1.3855,0.97621-0.090698i,0.96122
1.5386,0.96825-0.10341i,0.9482
1.6916,0.95858-0.11416i,0.9319
1.8447,0.94704-0.12223i,0.91183
1.9977,0.93353-0.1269i,0.88758
2.1508,0.91794-0.12755i,0.85888
2.3038,0.90024-0.1236i,0.82571
2.4569,0.88044-0.11457i,0.78831
2.6099,0.85861-0.1001i,0.74723
2.763,0.83486-0.079928i,0.70338
2.916,0.80938-0.053952i,0.65801
3.0691,0.78242-0.02219i,0.61267
3.2221,0.75426+0.01519i,0.56914
3.3752,0.72527+0.057879i,0.52937
3.5283,0.69585+0.10543i,0.49533
3.6813,0.66644+0.15725i,0.46887
3.8344,0.63752+0.21263i,0.45164
3.9874,0.60957+0.27077i,0.4449
4.1405,0.58312+0.33074i,0.44942
4.2935,0.55867+0.39155i,0.46542
4.4466,0.5367+0.45218i,0.49251
4.5996,0.51769+0.51153i,0.52967
4.7527,0.50207+0.56854i,0.57531
4.9057,0.49021+0.62213i,0.62735
5.0588,0.48242+0.67129i,0.68336
5.2118,0.47895+0.71504i,0.74068
5.3649,0.47996+0.75253i,0.79666
5.5179,0.4855+0.78299i,0.84878
5.671,0.49557+0.80578i,0.89488
5.824,0.51003+0.82043i,0.93323
5.9771,0.52865+0.8266i,0.96274
6.1301,0.55113+0.82413i,0.98294
6.2832,0.57704+0.81305i,0.99402
