0.31416,0.99998-0.0032559i
0.46721,0.99993-0.007073i
0.62026,0.99985-0.012155i
0.77332,0.99969-0.018284i
0.92637,0.99943-0.025192i
1.0794,0.99904-0.032565i
1.2325,0.99847-0.040059i
1.3855,0.99768-0.047304i
1.5386,0.99665-0.053917i
1.6916,0.99532-0.059513i
1.8447,0.99367-0.063716i
1.9977,0.99167-0.066171i
2.1508,0.9893-0.066556i
2.3038,0.98655-0.064589i
2.4569,0.98341-0.06004i
2.6099,0.9799-0.05274i
2.763,0.97604-0.042582i
2.916,0.97185-0.029534i
3.0691,0.96738-0.013637i
3.2221,0.96268+0.0049946i
3.3752,0.95781+0.026168i
3.5283,0.95286+0.049621i
3.6813,0.9479+0.075022i
3.8344,0.94302+0.10198i
3.9874,0.9383+0.13004i
4.1405,0.93385+0.15872i
4.2935,0.92975+0.1875i
4.4466,0.92611+0.21582i
4.5996,0.92299+0.24314i
4.7527,0.92048+0.26891i
4.9057,0.91866+0.29259i
5.0588,0.91756+0.31369i
5.2118,0.91725+0.33174i
5.3649,0.91774+0.34635i
5.5179,0.91903+0.35718i
5.671,0.92114+0.36397i
5.824,0.92402+0.36655i
5.9771,0.92764+0.36483i
6.1301,0.93192+0.3588i
6.2832,0.9368+0.34858i
