0.05,0.99523-0.037991i
0.082051,0.98725-0.059885i
0.1141,0.97562-0.078852i
0.14615,0.96062-0.094403i
0.17821,0.94261-0.10637i
0.21026,0.92204-0.11488i
0.24231,0.89939-0.12024i
0.27436,0.87519-0.12289i
0.30641,0.84994-0.12332i
0.33846,0.82412-0.12201i
0.37051,0.79817-0.1194i
0.40256,0.77245-0.11587i
0.43462,0.74727-0.11174i
0.46667,0.72287-0.10724i
0.49872,0.69943-0.10257i
0.53077,0.67708-0.097879i
0.56282,0.65591-0.093265i
0.59487,0.63597-0.088797i
0.62692,0.61727-0.084522i
0.65897,0.5998-0.080468i
0.69103,0.58354-0.076647i
0.72308,0.56844-0.073062i
0.75513,0.55447-0.069711i
0.78718,0.54156-0.066584i
0.81923,0.52966-0.063671i
0.85128,0.5187-0.060959i
0.88333,0.50863-0.058434i
0.91538,0.49938-0.056082i
0.94744,0.49089-0.05389i
0.97949,0.48311-0.051845i
1.0115,0.47598-0.049934i
1.0436,0.46946-0.048147i
1.0756,0.4635-0.046472i
1.1077,0.45804-0.044899i
1.1397,0.45306-0.043421i
1.1718,0.4485-0.042028i
1.2038,0.44434-0.040714i
1.2359,0.44054-0.039472i
1.2679,0.43707-0.038295i
1.3,0.43391-0.037179i
