-0.625,0.7346,0.57696,0.32042,0.14529,0.057057,0.020041,0.0064258,0.0019075,0.00052968,0.00013867,3.4441e-05,0,0,0,0,0,0,0,0,0,0,0
-0.62484,0.7346-6.7992e-24i,0.57696-7.4529e-24i,0.32042-5.1078e-24i,0.14529-2.5921e-24i,0.057057-1.0387e-24i,0.020041-3.3557e-25i,0.0064258-8.5667e-26i,0.0019075-1.532e-26i,0.00052968-5.8449e-28i,0.00013867+9.7372e-28i,3.4441e-05+5.0706e-28i,1.3086e-10-1.31e-10i,1.1074e-10-1.1085e-10i,6.4996e-11-6.5056e-11i,3.0605e-11-3.0633e-11i,1.2276e-11-1.2287e-11i,4.3335e-12-4.3377e-12i,1.374e-12-1.3754e-12i,3.9661e-13-3.9705e-13i,1.0517e-13-1.053e-13i,2.5834e-14-2.5871e-14i,5.5524e-15-5.5617e-15i
-0.62469,0.7346-5.8089e-23i,0.57696-5.7798e-23i,0.32042-3.7768e-23i,0.14529-1.8858e-23i,0.057057-7.6415e-24i,0.020041-2.582e-24i,0.0064258-7.3148e-25i,0.0019075-1.7002e-25i,0.00052968-2.9596e-26i,0.00013867-2.2279e-27i,3.4441e-05+9.3129e-28i,2.6212e-10-2.6265e-10i,2.2181e-10-2.2224e-10i,1.3019e-10-1.3044e-10i,6.1302e-11-6.1417e-11i,2.4588e-11-2.4634e-11i,8.6797e-12-8.6966e-12i,2.7521e-12-2.7576e-12i,7.9437e-13-7.9604e-13i,2.1064e-13-2.1111e-13i,5.1742e-14-5.1867e-14i,1.1121e-14-1.115e-14i
-0.62453,0.7346-2.0077e-22i,0.57696-1.9353e-22i,0.32042-1.243e-22i,0.14529-6.1684e-23i,0.057057-2.5101e-23i,0.020041-8.6208e-24i,0.0064258-2.5276e-24i,0.0019075-6.2914e-25i,0.00052968-1.284e-25i,0.00013867-1.8895e-26i,3.4441e-05-3.915e-28i,3.9378e-10-3.9496e-10i,3.3322e-10-3.342e-10i,1.9557e-10-1.9614e-10i,9.2089e-11-9.2354e-11i,3.6936e-11-3.7043e-11i,1.3039e-11-1.3077e-11i,4.1341e-12-4.1465e-12i,1.1933e-12-1.197e-12i,3.1641e-13-3.1743e-13i,7.7723e-14-7.7987e-14i,1.6704e-14-1.6765e-14i
-0.62438,0.7346-4.825e-22i,0.57696-4.578e-22i,0.32042-2.9144e-22i,0.14529-1.4416e-22i,0.057057-5.8791e-23i,0.020041-2.0363e-23i,0.0064258-6.0732e-24i,0.0019075-1.5602e-24i,0.00052968-3.3899e-25i,0.00013867-5.846e-26i,3.4441e-05-5.1505e-27i,5.2584e-10-5.2793e-10i,4.4497e-10-4.4671e-10i,2.6116e-10-2.6217e-10i,1.2297e-10-1.2344e-10i,4.9321e-11-4.9512e-11i,1.741e-11-1.7479e-11i,5.5202e-12-5.5422e-12i,1.5933e-12-1.5998e-12i,4.2248e-13-4.2426e-13i,1.0378e-13-1.0423e-13i,2.2304e-14-2.2407e-14i
-0.62422,0.7346-9.517e-22i,0.57696-8.9447e-22i,0.32042-5.6635e-22i,0.14529-2.7958e-22i,0.057057-1.1417e-22i,0.020041-3.9749e-23i,0.0064258-1.1977e-23i,0.0019075-3.1335e-24i,0.00052968-7.04e-25i,0.00013867-1.305e-25i,3.4441e-05-1.506e-26i,6.583e-10-6.6157e-10i,5.5705e-10-5.5979e-10i,3.2693e-10-3.2853e-10i,1.5394e-10-1.5469e-10i,6.1742e-11-6.2043e-11i,2.1795e-11-2.1902e-11i,6.9103e-12-6.9447e-12i,1.9945e-12-2.0047e-12i,5.2886e-13-5.3161e-13i,1.2991e-13-1.3061e-13i,2.7919e-14-2.8076e-14i
-0.62406,0.7346-1.6575e-21i,0.57696-1.5481e-21i,0.32042-9.766e-22i,0.14529-4.8145e-22i,0.057057-1.9679e-22i,0.020041-6.875e-23i,0.0064258-2.0856e-23i,0.0019075-5.5216e-24i,0.00052968-1.2667e-24i,0.00013867-2.4472e-25i,3.4441e-05-3.1861e-26i,7.9116e-10-7.9588e-10i,6.6947e-10-6.7342e-10i,3.9291e-10-3.9521e-10i,1.85e-10-1.8608e-10i,7.42e-11-7.4635e-11i,2.6192e-11-2.6347e-11i,8.3045e-12-8.354e-12i,2.3969e-12-2.4115e-12i,6.3554e-13-6.3948e-13i,1.5611e-13-1.571e-13i,3.355e-14-3.3772e-14i
-0.62391,0.7346-2.65e-21i,0.57696-2.4639e-21i,0.32042-1.5502e-21i,0.14529-7.6349e-22i,0.057057-3.1227e-22i,0.020041-1.0937e-22i,0.0064258-3.3339e-23i,0.0019075-8.9001e-24i,0.00052968-2.0711e-24i,0.00013867-4.1101e-25i,3.4441e-05-5.7317e-26i,9.2443e-10-9.3087e-10i,7.8223e-10-7.8762e-10i,4.5908e-10-4.6223e-10i,2.1616e-10-2.1764e-10i,8.6694e-11-8.7289e-11i,3.0603e-11-3.0814e-11i,9.7027e-12-9.7703e-12i,2.8004e-12-2.8202e-12i,7.4253e-13-7.4787e-13i,1.8239e-13-1.8373e-13i,3.9196e-14-3.9495e-14i
-0.62375,0.7346-3.9798e-21i,0.57696-3.6878e-21i,0.32042-2.3157e-21i,0.14529-1.1396e-21i,0.057057-4.6633e-22i,0.020041-1.6363e-22i,0.0064258-5.0063e-23i,0.0019075-1.3447e-23i,0.00052968-3.1618e-24i,0.00013867-6.3936e-25i,3.4441e-05-9.3223e-26i,1.0581e-09-1.0665e-09i,8.9532e-10-9.0239e-10i,5.2545e-10-5.2958e-10i,2.474e-10-2.4934e-10i,9.9225e-11-1.0001e-10i,3.5026e-11-3.5302e-11i,1.1105e-11-1.1193e-11i,3.2051e-12-3.231e-12i,8.4982e-13-8.5678e-13i,2.0874e-13-2.1049e-13i,4.4859e-14-4.5245e-14i
-0.62359,0.7346-5.6985e-21i,0.57696-5.2666e-21i,0.32042-3.3018e-21i,0.14529-1.624e-21i,0.057057-6.6478e-22i,0.020041-2.3361e-22i,0.0064258-7.1673e-23i,0.0019075-1.9343e-23i,0.00052968-4.584e-24i,0.00013867-9.3994e-25i,3.4441e-05-1.4139e-25i,1.1922e-09-1.2029e-09i,1.0088e-09-1.0177e-09i,5.9201e-10-5.9726e-10i,2.7874e-10-2.8121e-10i,1.1179e-10-1.1278e-10i,3.9462e-11-3.9813e-11i,1.2511e-11-1.2623e-11i,3.611e-12-3.6437e-12i,9.5742e-13-9.6622e-13i,2.3516e-13-2.3737e-13i,5.0537e-14-5.1023e-14i
